,Unnamed: 0,Player,Pos,Squad,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,SquadPass,P_SquadPass,90s,Mins,Value
39,62,Eryk Williamson,MF,Portland,561.0,662.0,84.7,10253.0,2986.0,4,1.6,2.4,12.0,65.0,15.0,0.0,74.0,8620.0,6.51,15.7,1413.0,1
37,60,José Andrés Martínez,MF,Philadelphia,518.0,622.0,83.3,11385.0,2824.0,2,1.1,0.9,5.0,67.0,4.0,1.0,50.0,8095.0,6.4,12.7,1143.0,1
19,30,Francisco Ginella,MF,Los Angeles FC,628.0,752.0,83.5,11010.0,3325.0,3,1.6,1.4,14.0,83.0,11.0,0.0,79.0,9985.0,6.29,12.9,1161.0,1
33,55,Mauricio Pereyra,MF,Orlando City,569.0,694.0,82.0,11014.0,3050.0,5,4.3,0.7,29.0,72.0,29.0,1.0,73.0,9099.0,6.25,12.2,1098.0,1
51,82,Leonard Owusu,MF,Vancouver,482.0,556.0,86.7,10176.0,1862.0,1,0.5,0.5,6.0,43.0,0.0,0.0,30.0,7895.0,6.11,14.5,1305.0,1
29,51,Kaku,MF,NY Red Bulls,450.0,658.0,68.4,7970.0,3228.0,3,3.6,-0.6,29.0,64.0,30.0,6.0,89.0,7363.0,6.11,12.0,1080.0,1
20,31,José Cifuentes,MF,Los Angeles FC,591.0,715.0,82.7,10765.0,2899.0,2,3.4,-1.4,22.0,81.0,23.0,4.0,78.0,9985.0,5.92,12.7,1143.0,1
38,61,Brenden Aaronson,MF,Philadelphia,451.0,568.0,79.4,7020.0,1541.0,4,2.7,1.3,27.0,31.0,13.0,1.0,39.0,8095.0,5.57,21.2,1908.0,1
6,9,Kellyn Acosta,MF,Colorado,416.0,483.0,86.1,8089.0,1815.0,1,1.0,0.0,9.0,32.0,5.0,1.0,32.0,7686.0,5.41,12.7,1143.0,1
10,19,Tanner Tessmann,MF,FC Dallas,467.0,553.0,84.4,9849.0,2218.0,1,0.7,0.3,9.0,46.0,6.0,1.0,29.0,8863.0,5.27,11.2,1008.0,1
0,0,Eric Remedi,MF,Atlanta,535.0,636.0,84.1,11543.0,2271.0,1,0.5,0.5,3.0,46.0,7.0,2.0,37.0,10470.0,5.11,12.9,1161.0,1
1,1,Jeff Larentowicz,MF,Atlanta,508.0,594.0,85.5,10779.0,2221.0,0,0.2,-0.2,4.0,49.0,2.0,1.0,23.0,10470.0,4.85,12.4,1116.0,1
